0,1,2,3,4,5,6,7,8,9
quirkiness_50th,motion_mode_paused_frequency,relative_to_hips_radial_velocity_tail_tip_w_backward_10th,motion_mode_paused_frequency,motion_mode_paused_frequency,motion_mode_paused_frequency,width_midbody_w_forward_90th,width_midbody_w_forward_10th,relative_to_head_base_radial_velocity_head_tip_w_forward_10th,relative_to_head_base_radial_velocity_head_tip_w_forward_10th
minor_axis_50th,motion_mode_paused_fraction,relative_to_body_angular_velocity_neck_w_backward_abs_90th,motion_mode_paused_fraction,motion_mode_paused_fraction,motion_mode_paused_fraction,motion_mode_paused_frequency,width_head_base_w_forward_10th,d_relative_to_head_base_radial_velocity_head_tip_w_forward_90th,d_relative_to_head_base_radial_velocity_head_tip_w_forward_90th
motion_mode_backward_frequency,curvature_std_neck_abs_90th,motion_mode_paused_frequency,curvature_mean_head_abs_50th,curvature_std_neck_w_backward_abs_90th,relative_to_head_base_radial_velocity_head_tip_w_forward_10th,width_head_base_w_forward_10th,relative_to_head_base_radial_velocity_head_tip_IQR,d_relative_to_head_base_angular_velocity_head_tip_abs_50th,d_curvature_mean_hips_w_forward_abs_IQR
width_tail_base_w_forward_50th,d_curvature_neck_w_backward_abs_90th,curvature_mean_head_w_backward_abs_50th,major_axis_w_forward_10th,curvature_std_midbody_abs_10th,curvature_std_neck_abs_90th,motion_mode_paused_fraction,curvature_head_w_backward_abs_50th,motion_mode_backward_fraction,d_curvature_std_tail_w_forward_abs_90th
relative_to_neck_radial_velocity_head_tip_w_backward_90th,angular_velocity_tail_tip_w_backward_abs_IQR,curvature_std_midbody_abs_10th,d_relative_to_body_angular_velocity_hips_w_forward_abs_10th,curvature_head_abs_50th,relative_to_head_base_radial_velocity_head_tip_w_forward_90th,major_axis_w_forward_10th,curvature_std_midbody_abs_10th,angular_velocity_tail_tip_w_backward_abs_IQR,curvature_std_midbody_abs_10th
relative_to_head_base_radial_velocity_head_tip_w_forward_10th,curvature_std_midbody_abs_10th,length_90th,curvature_std_midbody_abs_10th,relative_to_head_base_radial_velocity_head_tip_w_forward_10th,curvature_std_midbody_abs_10th,curvature_tail_w_backward_abs_90th,d_relative_to_neck_radial_velocity_head_tip_w_forward_90th,curvature_std_midbody_abs_10th,curvature_std_neck_abs_90th
curvature_head_abs_90th,relative_to_head_base_radial_velocity_head_tip_50th,d_curvature_mean_head_w_forward_abs_50th,d_angular_velocity_tail_tip_abs_90th,width_tail_base_w_forward_50th,curvature_std_neck_w_forward_abs_50th,curvature_std_midbody_abs_10th,motion_mode_paused_frequency,motion_mode_paused_frequency,motion_mode_paused_frequency
motion_mode_paused_frequency,width_tail_base_w_forward_50th,relative_to_head_base_radial_velocity_head_tip_50th,relative_to_head_base_radial_velocity_head_tip_50th,d_quirkiness_w_forward_IQR,width_head_base_w_forward_10th,d_relative_to_neck_radial_velocity_head_tip_w_forward_90th,relative_to_head_base_radial_velocity_head_tip_50th,d_curvature_mean_tail_w_backward_abs_90th,curvature_mean_head_w_backward_abs_90th
curvature_mean_head_w_forward_abs_50th,minor_axis_w_forward_10th,curvature_mean_head_w_forward_abs_50th,d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_90th,d_curvature_mean_head_w_forward_abs_10th,motion_mode_backward_frequency,motion_mode_backward_frequency,d_curvature_std_tail_abs_IQR,curvature_std_neck_w_backward_abs_90th,d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_90th
relative_to_head_base_radial_velocity_head_tip_w_forward_90th,d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_IQR,d_angular_velocity_head_tip_w_forward_abs_50th,motion_mode_backward_frequency,d_relative_to_body_radial_velocity_head_tip_w_forward_90th,d_angular_velocity_head_tip_abs_10th,relative_to_head_base_radial_velocity_head_tip_IQR,relative_to_body_angular_velocity_neck_w_backward_abs_90th,major_axis_w_forward_10th,d_relative_to_head_base_angular_velocity_head_tip_abs_50th
